timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27
15:40:11.460571,-48540.59375,-64120.53125,-50312.859375,-56234.98046875,244066.265625,-38401.19921875,-46099.0703125,-44596.03125,-23451.359375,-17540.146484375,-2079.84619140625,-26348.265625,-39290.23828125,116247.5859375,137369.546875,-14618.2939453125,-1527.360595703125,190846.03125,173238.5625,117913.5,-26979.884765625,-26940.18359375,660753.875,661990.0,0.0,0.0,0.0
15:40:11.460571,-48507.421875,-63945.63671875,-47941.43359375,-56580.1171875,250479.34375,-37704.84765625,-46059.81640625,-44327.87890625,-23433.208984375,-13201.001953125,-2043.9019775390625,-26351.037109375,-39414.51953125,122738.5546875,143744.09375,-8128.4873046875,-1576.5379638671875,197194.125,179590.9375,124412.15625,-20794.26171875,-20754.29296875,666892.0,668165.9375,0.0,0.0,0.0
15:40:11.461581,-49003.66796875,-64542.11328125,-51101.93359375,-57090.12890625,246308.5625,-40028.34375,-46168.27734375,-45889.75390625,-24519.314453125,-17729.79296875,-3212.98291015625,-26497.138671875,-40470.31640625,118219.6875,139435.71875,-12408.4404296875,-1869.0987548828125,192836.90625,175570.375,120081.6875,-24936.16015625,-24896.998046875,662724.6875,663975.0625,0.0,0.0,0.0
15:40:11.463570,-49300.87890625,-64999.46484375,-54562.6796875,-57099.33984375,239435.71875,-41811.42578125,-46245.62109375,-46918.0078125,-25116.416015625,-23434.28125,-3864.628173828125,-26570.546875,-40943.84765625,111146.375,132570.734375,-19378.93359375,-1985.7833251953125,186019.578125,168957.359375,112981.09375,-31552.30859375,-31515.0234375,656098.5625,657305.875,0.0,16303375.0,0.0
15:40:11.464570,-49065.00390625,-64784.06640625,-53983.1015625,-56668.6328125,239023.609375,-40957.70703125,-46211.640625,-46242.66796875,-24570.904296875,-23122.228515625,-3290.057373046875,-26496.423828125,-40356.22265625,110854.703125,132270.296875,-19786.033203125,-1810.532958984375,185835.921875,168614.71875,112459.3671875,-31775.75390625,-31739.00390625,655836.5,657043.0,0.0,0.0,0.0
15:40:11.466566,-48531.02734375,-64073.765625,-49296.31640625,-56295.2421875,247547.390625,-38169.08203125,-46087.359375,-44481.76171875,-23429.54296875,-15900.21484375,-2063.1259765625,-26348.087890625,-39343.4375,119767.3515625,140915.6875,-11117.2216796875,-1538.0902099609375,194545.421875,176867.484375,121108.515625,-23387.876953125,-23347.91015625,664165.0,665415.8125,0.0,0.0,0.0
15:40:11.468565,-48541.84765625,-63956.45703125,-47391.09375,-56644.671875,253134.921875,-37711.8203125,-46068.1328125,-44373.12109375,-23495.08203125,-12268.5986328125,-2121.512939453125,-26373.66015625,-39538.26953125,125432.4921875,146454.765625,-5457.796875,-1615.8798828125,200038.625,182133.3125,126839.1953125,-18054.453125,-18012.876953125,669469.0,670769.875,0.0,0.0,0.0
15:40:11.470566,-49071.44140625,-64603.36328125,-51027.5390625,-57155.66796875,247956.109375,-40243.7421875,-46176.68359375,-46060.62109375,-24645.56640625,-17516.720703125,-3366.05859375,-26531.384765625,-40621.78125,119901.5546875,141118.390625,-10744.9931640625,-1921.673828125,194655.046875,176980.421875,121629.703125,-23248.123046875,-23207.888671875,664243.5625,665497.0625,0.0,0.0,0.0
15:40:11.471566,-49381.88671875,-65107.1171875,-54946.53125,-57180.4375,239996.34375,-42202.43359375,-46271.19140625,-47194.5625,-25292.560546875,-23943.9375,-4076.00146484375,-26612.03515625,-41123.66015625,111722.375,133133.046875,-18824.03515625,-2044.796142578125,186735.15625,169343.34375,113569.6796875,-30994.369140625,-30956.81640625,656476.3125,657687.25,0.0,0.0,0.0
15:40:11.473565,-49154.23828125,-64919.9765625,-54715.66796875,-56732.02734375,238616.59375,-41447.3359375,-46246.06640625,-46571.80078125,-24766.720703125,-24218.974609375,-3516.54150390625,-26538.447265625,-40543.546875,110459.3203125,131840.578125,-20205.115234375,-1871.87060546875,185587.359375,168234.796875,112154.9140625,-32225.861328125,-32188.576171875,655214.875,656411.25,0.0,0.0,0.0
