timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
18:26:36.067471,0.07837,-0.40112,0.8313,-5.87786,0.0458,1.14504
18:26:36.075324,0.08081,-0.40601,0.83545,-6.15267,0.36641,0.9313
18:26:36.085352,0.07764,-0.4082,0.82812,-5.81679,0.45802,1.28244
18:26:36.095591,0.06909,-0.40649,0.83252,-5.60305,0.62595,1.31298
18:26:36.105407,0.07275,-0.41357,0.83569,-4.99237,0.39695,1.05344
18:26:36.115251,0.07349,-0.40088,0.83105,-5.05344,0.39695,1.1145
18:26:36.125710,0.06372,-0.41235,0.83179,-3.89313,-0.1374,0.99237
18:26:36.135497,0.07495,-0.40649,0.84082,-4.30534,-0.62595,1.00763
18:26:36.145508,0.06348,-0.41284,0.85034,-4.38168,-1.35878,1.00763
18:26:36.155283,0.06079,-0.41382,0.86768,-4.48855,-2.77863,0.71756
18:26:36.165827,0.04346,-0.40088,0.896,-2.85496,-4.35115,-0.06107
18:26:36.176321,0.03784,-0.42188,0.896,-2.27481,-7.28244,-0.24427
18:26:36.185963,0.03076,-0.43433,0.9104,-2.65649,-9.93893,-0.64122
18:26:36.195959,0.03101,-0.44458,0.91162,-2.39695,-11.81679,-0.62595
18:26:36.206246,0.05322,-0.44043,0.9187,-2.0,-15.09924,-1.00763
18:26:36.215949,0.05688,-0.43652,0.927,-0.50382,-17.93893,-2.85496
18:26:36.226188,0.06079,-0.42871,0.92578,-0.35115,-20.85496,-3.60305
18:26:36.235967,0.06909,-0.44873,0.9353,0.62595,-22.62595,-4.96183
18:26:36.245911,0.08423,-0.4314,0.92529,1.51145,-25.45038,-5.57252
18:26:36.256158,0.09766,-0.41138,0.93091,3.00763,-27.00763,-6.65649
18:26:36.265951,0.09033,-0.42041,0.93262,4.10687,-29.93893,-7.08397
18:26:36.276341,0.10669,-0.4126,0.91235,4.29008,-32.29008,-6.9771
18:26:36.285951,0.10938,-0.39868,0.89771,4.15267,-32.74809,-7.00763
18:26:36.295934,0.13135,-0.39038,0.8689,3.41985,-34.22901,-7.09924
18:26:36.305762,0.14307,-0.37744,0.86377,1.75573,-34.29008,-6.90076
18:26:36.315915,0.13135,-0.37231,0.85571,-0.58015,-35.96947,-6.79389
18:26:36.325980,0.14575,-0.37866,0.84839,-0.77863,-35.84733,-6.44275
18:26:36.335927,0.1499,-0.3772,0.84204,-1.22137,-35.09924,-5.55725
18:26:36.345925,0.15894,-0.37329,0.8457,-1.12977,-36.07634,-4.79389
18:26:36.355938,0.16504,-0.36133,0.82544,-2.10687,-35.58779,-3.8626
18:26:36.365958,0.16553,-0.3689,0.83765,-1.60305,-35.63359,-4.01527
18:26:36.375870,0.177,-0.36768,0.82617,-0.70229,-36.06107,-3.54198
18:26:36.386009,0.17969,-0.37646,0.82568,0.21374,-35.34351,-3.0687
18:26:36.396119,0.17603,-0.375,0.80762,0.42748,-34.68702,-2.45802
18:26:36.406051,0.19312,-0.36182,0.81128,-1.34351,-34.19847,-2.18321
18:26:36.416160,0.19873,-0.36792,0.83154,-1.77099,-33.92366,-2.06107
18:26:36.425848,0.198,-0.38257,0.82788,-0.87023,-33.9542,-2.07634
18:26:36.435712,0.20215,-0.38159,0.81982,0.59542,-33.63359,-1.61832
18:26:36.446048,0.20508,-0.375,0.84692,1.69466,-34.06107,-1.43511
18:26:36.455778,0.20728,-0.38306,0.83813,2.24427,-34.13741,-1.74046
18:26:36.466036,0.21118,-0.38843,0.83447,1.92366,-34.53435,-1.8626
18:26:36.475827,0.21655,-0.39111,0.84155,1.1145,-34.82443,-1.96947
18:26:36.485829,0.23047,-0.39014,0.83984,0.45802,-35.58779,-2.36641
18:26:36.495719,0.24219,-0.39209,0.8501,1.0687,-36.54962,-2.29008
18:26:36.505830,0.24146,-0.38818,0.86035,1.03817,-37.57252,-2.44275
18:26:36.516212,0.24365,-0.38623,0.85718,1.37405,-37.69466,-2.94656
18:26:36.526216,0.25562,-0.3894,0.86206,1.57252,-38.79389,-3.00763
18:26:36.535882,0.25244,-0.38818,0.86401,2.1374,-40.01527,-3.34351
18:26:36.545840,0.26489,-0.38721,0.8501,1.61832,-41.16031,-3.84733
18:26:36.555832,0.26587,-0.38672,0.84326,0.35115,-41.93893,-4.12214
18:26:36.566168,0.27417,-0.38989,0.83569,0.03053,-42.77863,-4.21374
18:26:36.576056,0.2832,-0.39478,0.82397,-0.10687,-43.40458,-4.54962
18:26:36.586244,0.29858,-0.37866,0.83472,-0.38168,-44.1832,-4.64122
18:26:36.596056,0.30566,-0.37793,0.82764,-0.27481,-44.80916,-4.85496
18:26:36.605911,0.30225,-0.37402,0.83252,0.12214,-45.61832,-5.0229
18:26:36.616077,0.30127,-0.37524,0.83154,1.52672,-46.13741,-5.08397
18:26:36.625935,0.32227,-0.3772,0.81982,2.0458,-47.03817,-5.19084
18:26:36.635925,0.32715,-0.35767,0.80078,0.76336,-47.0687,-5.51145
18:26:36.646170,0.33618,-0.35107,0.79272,-1.09924,-47.43512,-6.07634
18:26:36.656204,0.33813,-0.35742,0.80273,-2.15267,-47.98473,-6.48855
18:26:36.665993,0.34961,-0.37231,0.80078,-1.43511,-48.44275,-6.45802
18:26:36.676137,0.35596,-0.36621,0.78735,-0.06107,-47.92366,-6.21374
18:26:36.685816,0.36133,-0.36255,0.78906,0.65649,-48.24427,-6.36641
18:26:36.696247,0.36816,-0.35718,0.78418,0.32061,-48.50382,-6.42748
18:26:36.706063,0.37842,-0.36377,0.7749,-0.36641,-48.59542,-6.83969
18:26:36.716039,0.39185,-0.35645,0.76782,-1.14504,-48.21374,-7.03817
18:26:36.726111,0.40576,-0.35986,0.77124,-2.30534,-48.51908,-7.25191
18:26:36.736055,0.40234,-0.36279,0.75952,-2.68702,-48.0916,-7.74046
18:26:36.746360,0.41626,-0.35913,0.73389,-2.01527,-47.31298,-7.40458
18:26:36.756306,0.42896,-0.36621,0.73291,-0.85496,-47.19084,-7.54198
18:26:36.766518,0.42725,-0.35107,0.73535,-0.48855,-46.71756,-7.9084
18:26:36.776245,0.43701,-0.34595,0.74072,-0.67176,-45.92366,-7.60305
18:26:36.786046,0.44727,-0.34229,0.71289,-2.01527,-45.51145,-7.37405
18:26:36.795902,0.45044,-0.33862,0.71167,-3.46565,-45.03817,-7.77099
18:26:36.806024,0.46313,-0.34619,0.71826,-5.57252,-44.79389,-7.77099
18:26:36.816511,0.47339,-0.34937,0.70996,-5.34351,-44.12214,-7.98473
18:26:36.826523,0.47388,-0.35645,0.72168,-4.06107,-43.28244,-7.74046
18:26:36.836062,0.48901,-0.34766,0.71826,-2.41221,-42.41221,-7.66412
18:26:36.846041,0.49194,-0.34155,0.71021,-1.84733,-41.45038,-7.57252
18:26:36.855888,0.49902,-0.3252,0.70703,-1.40458,-40.82443,-7.09924
18:26:36.866017,0.50342,-0.32275,0.70801,-1.55725,-40.10687,-7.45038
18:26:36.876466,0.51196,-0.32251,0.70728,-1.51145,-39.75573,-7.57252
18:26:36.886259,0.52246,-0.31519,0.71313,-1.0687,-39.43512,-7.64885
18:26:36.896292,0.52979,-0.32007,0.70581,-0.01527,-39.16031,-7.40458
18:26:36.906089,0.5376,-0.31201,0.70386,1.37405,-38.62595,-6.64122
18:26:36.915948,0.54761,-0.30542,0.71631,2.0,-38.53435,-6.51908
18:26:36.925854,0.54639,-0.30762,0.69727,1.43511,-38.61069,-5.72519
18:26:36.936120,0.55176,-0.31128,0.6936,0.44275,-38.1832,-5.09924
18:26:36.946041,0.55127,-0.31079,0.6709,-0.67176,-38.0916,-4.45802
18:26:36.956046,0.5647,-0.31519,0.67993,-1.69466,-37.86259,-3.96947
18:26:36.966045,0.56787,-0.31299,0.67505,-2.51908,-37.77099,-3.61832
18:26:36.976084,0.57715,-0.31885,0.68262,-3.0229,-37.89313,-3.61832
18:26:36.985934,0.5791,-0.31812,0.69165,-3.05344,-38.12214,-3.29771
18:26:36.996277,0.59351,-0.31885,0.68628,-2.91603,-37.72519,-3.1145
18:26:37.006014,0.59424,-0.30957,0.66943,-3.46565,-37.22137,-3.00763
18:26:37.016113,0.58984,-0.32617,0.66406,-3.45038,-37.12977,-3.25191
18:26:37.025960,0.59131,-0.32788,0.6626,-2.94656,-37.14504,-3.41985
18:26:37.036327,0.60938,-0.33008,0.65308,-2.03053,-36.38168,-3.35878
18:26:37.045911,0.60791,-0.32715,0.65552,-0.82443,-35.98473,-3.49618
18:26:37.056212,0.6145,-0.33105,0.64868,-0.12214,-36.0,-3.48092
18:26:37.066298,0.6311,-0.32959,0.63818,-0.30534,-35.26717,-3.25191
18:26:37.076048,0.62427,-0.30811,0.63794,-1.49618,-34.96183,-3.32824
18:26:37.086061,0.6333,-0.29932,0.63452,-3.78626,-34.64122,-3.49618
18:26:37.096056,0.63306,-0.30811,0.62891,-5.37405,-33.93893,-3.9542
18:26:37.105914,0.63403,-0.31689,0.63843,-5.14504,-33.9542,-4.27481
18:26:37.115940,0.64575,-0.32642,0.62549,-3.25191,-33.60305,-4.12214
18:26:37.126321,0.65063,-0.32007,0.63135,-1.25191,-32.9771,-4.0916
18:26:37.136269,0.66528,-0.30762,0.60986,-0.61069,-31.78626,-3.9084
18:26:37.146202,0.66406,-0.30811,0.59961,-0.06107,-30.87023,-3.57252
18:26:37.156029,0.67163,-0.30908,0.59277,-0.19847,-30.56489,-3.81679
18:26:37.166272,0.67627,-0.30835,0.57886,-1.00763,-29.75573,-3.9542
18:26:37.175928,0.68066,-0.30591,0.58032,-1.80153,-29.63359,-3.43511
18:26:37.186060,0.68262,-0.30371,0.59229,-2.96183,-29.40458,-3.54198
18:26:37.196064,0.68164,-0.29956,0.60229,-3.63359,-29.14504,-3.75573
18:26:37.206096,0.68677,-0.30762,0.61499,-3.03817,-29.05343,-3.54198
18:26:37.216193,0.69189,-0.30493,0.60889,-1.93893,-28.9313,-3.34351
18:26:37.226182,0.70679,-0.30933,0.59326,-1.20611,-28.56489,-3.25191
18:26:37.235908,0.69922,-0.29224,0.58057,-2.29008,-27.87786,-3.0229
18:26:37.246100,0.7063,-0.29053,0.57593,-4.21374,-27.32825,-2.8855
18:26:37.256088,0.7041,-0.29346,0.57153,-5.63359,-27.0687,-2.83969
18:26:37.266074,0.70337,-0.29712,0.56177,-5.66412,-26.59542,-2.90076
18:26:37.276486,0.71631,-0.29883,0.54956,-5.63359,-26.18321,-2.70229
18:26:37.286143,0.72314,-0.27979,0.54297,-6.64122,-25.03817,-2.30534
18:26:37.296098,0.73047,-0.27783,0.53076,-8.91603,-24.38168,-2.12214
18:26:37.306303,0.72412,-0.27539,0.55249,-10.9771,-24.18321,-2.0916
18:26:37.316389,0.72949,-0.29272,0.55396,-11.40458,-24.03053,-2.19847
18:26:37.326296,0.72412,-0.302,0.56152,-9.29771,-23.51145,-2.03053
18:26:37.336057,0.73462,-0.32422,0.54663,-4.96183,-22.39695,-1.32824
18:26:37.346014,0.73975,-0.31519,0.54004,-1.19084,-21.29771,-0.59542
18:26:37.356066,0.74536,-0.29883,0.5376,-0.8855,-20.25954,0.07634
18:26:37.366053,0.7439,-0.29224,0.53589,-1.34351,-19.75573,0.29008
18:26:37.376100,0.74121,-0.28784,0.53589,-3.51145,-19.93893,0.22901
18:26:37.386195,0.74854,-0.28882,0.54004,-5.37405,-19.92366,0.15267
18:26:37.395866,0.74463,-0.2915,0.55469,-6.32061,-20.32061,0.21374
18:26:37.405754,0.75586,-0.30029,0.55884,-6.18321,-20.29008,0.06107
18:26:37.415865,0.75903,-0.30151,0.55127,-4.80916,-20.0458,0.24427
18:26:37.425897,0.76001,-0.30518,0.55322,-3.37405,-19.77099,0.58015
18:26:37.436062,0.7644,-0.31616,0.54492,-1.52672,-20.01527,0.9771
18:26:37.446052,0.76367,-0.30444,0.53687,-0.44275,-19.64886,1.26718
18:26:37.456050,0.75586,-0.29712,0.53735,-0.73282,-19.96947,1.51145
18:26:37.465801,0.75464,-0.29663,0.54932,-0.80916,-20.25954,1.08397
18:26:37.475838,0.75317,-0.30762,0.55176,-0.25954,-21.09924,1.20611
18:26:37.486072,0.76807,-0.29541,0.54712,-0.80916,-21.12977,1.23664
18:26:37.496058,0.76367,-0.29468,0.54272,-1.45038,-21.19084,1.32824
18:26:37.506012,0.76318,-0.29663,0.53687,-2.18321,-22.15267,1.16031
18:26:37.516071,0.77612,-0.29712,0.53589,-3.26718,-22.74809,1.41985
18:26:37.525953,0.77197,-0.30713,0.53101,-3.52672,-23.00763,1.34351
18:26:37.535857,0.7688,-0.30249,0.54224,-3.37405,-23.48092,1.20611
18:26:37.545897,0.78052,-0.30127,0.53296,-2.82443,-23.81679,1.08397
18:26:37.556214,0.77588,-0.31689,0.53052,-1.0687,-24.36641,0.87023
18:26:37.566044,0.78638,-0.31201,0.51929,-0.1374,-24.68702,1.05344
18:26:37.576059,0.78833,-0.30981,0.51416,-0.12214,-24.80916,0.68702
18:26:37.585925,0.78125,-0.29883,0.51465,-1.66412,-25.34351,0.71756
18:26:37.595946,0.79688,-0.29028,0.50537,-3.41985,-26.10687,0.07634
18:26:37.606302,0.80371,-0.29956,0.51074,-4.53435,-26.50382,-0.12214
18:26:37.616251,0.8064,-0.30811,0.49512,-4.25954,-26.90076,-0.50382
18:26:37.626089,0.80176,-0.30396,0.48071,-3.74046,-26.94657,-0.48855
18:26:37.636444,0.80981,-0.29858,0.47363,-3.46565,-26.76336,-0.36641
18:26:37.646211,0.80566,-0.28638,0.47266,-4.9771,-26.91603,-0.22901
18:26:37.656252,0.81128,-0.28369,0.45703,-6.96183,-26.67175,-0.39695
18:26:37.666101,0.80371,-0.28955,0.45288,-8.54962,-26.87023,-0.71756
18:26:37.676251,0.8064,-0.2854,0.45605,-8.58015,-26.59542,-0.54962
18:26:37.686289,0.81714,-0.29517,0.45654,-7.40458,-26.32061,-0.24427
18:26:37.696250,0.82153,-0.29443,0.44678,-5.46565,-25.9542,-0.21374
18:26:37.706033,0.83618,-0.30225,0.43896,-3.66412,-25.83206,0.42748
18:26:37.716020,0.83203,-0.29712,0.43335,-2.67176,-25.28244,0.68702
18:26:37.725991,0.83667,-0.2915,0.43994,-2.8855,-25.20611,0.67176
18:26:37.736218,0.83984,-0.29712,0.42285,-3.05344,-24.99237,0.74809
18:26:37.746145,0.83447,-0.30078,0.42163,-2.76336,-24.94657,0.62595
18:26:37.755917,0.83496,-0.30273,0.41699,-3.17557,-24.56489,0.85496
18:26:37.765935,0.85059,-0.30322,0.41626,-3.40458,-24.16794,0.47328
18:26:37.775971,0.8457,-0.29541,0.41357,-3.67939,-23.84733,0.35115
18:26:37.785849,0.85596,-0.29272,0.40527,-3.80153,-23.43511,0.44275
18:26:37.796013,0.84912,-0.30493,0.40601,-3.49618,-23.28244,0.83969
18:26:37.805953,0.85352,-0.30029,0.40283,-3.00763,-23.03817,1.08397
18:26:37.815925,0.84766,-0.29175,0.39526,-3.46565,-22.56489,0.73282
18:26:37.826054,0.85156,-0.28955,0.3855,-4.44275,-22.41221,0.79389
18:26:37.836085,0.85693,-0.29443,0.38452,-5.77099,-21.87786,0.76336
18:26:37.845964,0.85718,-0.29956,0.38867,-5.87786,-21.74046,0.58015
18:26:37.856017,0.86157,-0.29639,0.3894,-4.74809,-21.51145,0.71756
18:26:37.866074,0.86621,-0.30347,0.38159,-2.67176,-20.56489,0.94656
18:26:37.876018,0.86255,-0.30591,0.38452,-0.59542,-19.92366,1.00763
18:26:37.885817,0.86865,-0.29541,0.36792,-0.24427,-19.28244,1.09924
18:26:37.895787,0.86499,-0.29419,0.36963,-0.90076,-18.82443,1.37405
18:26:37.905955,0.87036,-0.2854,0.36914,-2.39695,-18.83969,1.23664
18:26:37.916060,0.87598,-0.28223,0.37207,-4.0458,-18.67175,1.29771
18:26:37.925919,0.87012,-0.28809,0.37744,-5.49618,-18.68702,0.76336
18:26:37.935949,0.87695,-0.29492,0.36084,-6.44275,-18.27481,0.61069
18:26:37.946140,0.8833,-0.30444,0.36865,-6.70229,-18.0916,0.67176
18:26:37.956060,0.87476,-0.29736,0.36304,-6.1374,-17.96947,0.45802
18:26:37.966000,0.87988,-0.30518,0.35596,-5.66412,-17.12977,0.33588
18:26:37.976333,0.88647,-0.2959,0.34082,-6.38168,-16.68702,0.38168
18:26:37.985865,0.88403,-0.28516,0.3291,-8.36641,-16.33588,1.20611
18:26:37.996201,0.89014,-0.28394,0.32422,-11.1145,-15.48092,1.0229
18:26:38.006071,0.87573,-0.28223,0.34351,-12.35114,-15.70992,0.59542
18:26:38.016119,0.88013,-0.29272,0.34863,-13.69466,-15.63359,0.19847
18:26:38.026144,0.89453,-0.31079,0.33838,-11.60305,-15.22137,0.16794
18:26:38.035925,0.89868,-0.32007,0.33765,-7.66412,-14.35114,0.48855
18:26:38.046207,0.89868,-0.30737,0.33667,-4.85496,-13.66412,0.96183
18:26:38.056069,0.90063,-0.29663,0.32153,-4.53435,-13.14504,1.05344
18:26:38.066095,0.89014,-0.29297,0.33813,-5.40458,-12.83969,0.80916
18:26:38.075894,0.88867,-0.28516,0.33569,-6.71756,-12.9313,0.56489
18:26:38.086252,0.89502,-0.30225,0.32886,-6.47328,-13.1145,0.65649
18:26:38.096246,0.89795,-0.29468,0.3418,-6.03053,-12.62595,0.74809
18:26:38.105927,0.89282,-0.30054,0.33301,-5.70992,-12.21374,0.9313
18:26:38.116040,0.90039,-0.30249,0.33008,-5.54198,-12.61069,1.25191
18:26:38.126044,0.9043,-0.2915,0.33179,-5.78626,-12.68702,1.09924
18:26:38.135789,0.90259,-0.29004,0.34229,-6.33588,-13.00763,1.19084
18:26:38.146251,0.89917,-0.30151,0.33105,-5.52672,-13.49618,1.35878
18:26:38.156049,0.89502,-0.30225,0.33569,-4.07634,-13.61832,1.51145
18:26:38.166053,0.90625,-0.30493,0.32861,-2.9313,-13.26718,1.45038
18:26:38.175881,0.90796,-0.30713,0.32593,-1.74046,-13.74046,1.96947
18:26:38.185925,0.89502,-0.29248,0.32788,-1.81679,-14.06107,1.92366
18:26:38.195919,0.9043,-0.28662,0.32617,-2.74809,-14.03053,2.27481
18:26:38.205988,0.9043,-0.29395,0.3186,-3.14504,-14.82443,2.38168
18:26:38.215929,0.89819,-0.29907,0.32568,-3.16031,-15.38931,2.36641
18:26:38.226245,0.91211,-0.29712,0.31641,-3.0229,-15.46565,2.29008
18:26:38.235920,0.91187,-0.30371,0.31323,-2.8855,-15.74046,2.32061
18:26:38.246967,0.9082,-0.29932,0.31641,-3.66412,-16.58015,2.10687
18:26:38.256242,0.91992,-0.30981,0.30542,-3.92366,-16.91603,1.72519
18:26:38.266049,0.90991,-0.3103,0.30542,-3.66412,-17.16031,1.45038
18:26:38.276028,0.91748,-0.30298,0.30591,-3.87786,-17.1145,1.20611
18:26:38.286060,0.91675,-0.30396,0.29712,-3.78626,-17.03817,1.34351
18:26:38.295997,0.9082,-0.30103,0.29297,-4.68702,-17.75573,1.17557
18:26:38.305945,0.91992,-0.30078,0.28442,-6.15267,-17.96947,0.9313
18:26:38.316083,0.91406,-0.30664,0.28882,-7.23664,-17.92366,0.65649
18:26:38.325803,0.91724,-0.31177,0.28052,-7.05344,-18.42748,0.67176
18:26:38.336060,0.91846,-0.31738,0.28467,-6.33588,-19.00763,0.45802
18:26:38.345997,0.92163,-0.30957,0.27515,-6.82443,-18.87023,0.42748
18:26:38.355890,0.92236,-0.30078,0.26392,-8.41221,-18.90076,0.44275
18:26:38.366112,0.92334,-0.29028,0.27319,-10.0458,-18.82443,0.15267
18:26:38.376428,0.92993,-0.29883,0.26172,-10.83969,-18.9313,-0.10687
18:26:38.386308,0.92798,-0.30859,0.2644,-9.37405,-19.1145,-0.07634
18:26:38.395925,0.93311,-0.31226,0.25586,-6.77863,-18.70229,0.16794
18:26:38.406439,0.93066,-0.31055,0.24951,-5.19084,-18.62595,0.59542
18:26:38.415838,0.92847,-0.29761,0.23462,-5.83206,-18.65649,0.71756
18:26:38.425925,0.93188,-0.28589,0.22437,-9.28244,-18.51908,0.90076
18:26:38.436004,0.92993,-0.27661,0.20874,-15.54198,-17.9084,0.85496
18:26:38.446084,0.92822,-0.26636,0.2002,-22.39695,-17.92366,0.51908
18:26:38.456254,0.93115,-0.27417,0.20728,-28.9313,-17.89313,-0.18321
18:26:38.466255,0.93457,-0.30371,0.22534,-29.9542,-18.24427,-1.8626
18:26:38.476242,0.9502,-0.33862,0.24219,-25.70992,-18.35114,-1.93893
18:26:38.486479,0.95923,-0.36182,0.21484,-15.58779,-17.51145,-0.82443
18:26:38.495808,0.95508,-0.36011,0.20825,-4.38168,-15.61832,0.35115
18:26:38.506063,0.94946,-0.33716,0.19873,2.24427,-14.48855,1.28244
18:26:38.515837,0.93799,-0.30444,0.2041,3.45038,-14.59542,1.61832
18:26:38.526040,0.9458,-0.2749,0.19507,-0.38168,-14.35114,1.00763
18:26:38.535947,0.93945,-0.29199,0.19873,-4.1374,-15.03817,0.27481
18:26:38.546133,0.94458,-0.29834,0.18677,-7.60305,-14.77863,-0.39695
18:26:38.556002,0.95435,-0.30762,0.18628,-9.12977,-13.9542,-0.32061
18:26:38.565979,0.94434,-0.33081,0.19653,-7.80153,-13.66412,-0.10687
18:26:38.576260,0.94946,-0.31934,0.18921,-5.67939,-13.0229,0.29008
18:26:38.586052,0.95117,-0.31909,0.18018,-3.05344,-12.19847,0.77863
18:26:38.595958,0.94873,-0.31079,0.16968,-2.27481,-12.07634,0.96183
