timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27
15:39:26.801275,-48838.25,-64209.140625,-54403.5234375,-57588.4296875,261909.34375,-42051.6796875,-46352.2890625,-46178.37890625,-24965.576171875,-25536.75,-3953.683837890625,-26018.509765625,-39676.234375,130180.2578125,137345.671875,13945.5478515625,-1191.3448486328125,293416.21875,310510.03125,133320.359375,-43727.47265625,-43694.2109375,650793.625,654570.1875,0.0,0.0,0.0
15:39:26.801275,-48578.953125,-63966.203125,-53790.7734375,-57119.45703125,261262.4375,-40976.3046875,-46302.84375,-45375.44921875,-24332.796875,-25376.87890625,-3288.090087890625,-25930.4375,-39030.22265625,129675.5234375,136834.40625,13322.8720703125,-997.4964599609375,292912.1875,309949.3125,132625.28125,-44192.8671875,-44160.14453125,650296.3125,654069.125,0.0,0.0,0.0
15:39:26.802276,-48041.30859375,-63229.703125,-48898.96484375,-56745.9765625,269510.65625,-37731.3125,-46170.78125,-43443.4921875,-23087.177734375,-17906.115234375,-1971.29833984375,-25777.091796875,-38007.421875,138283.53125,145213.609375,21699.392578125,-712.2675170898438,301215.65625,317950.03125,141000.140625,-36076.71875,-36041.578125,658351.5625,662179.5625,0.0,0.0,0.0
15:39:26.804274,-48052.75390625,-63105.5078125,-46909.515625,-57113.9140625,274795.78125,-37190.8984375,-46151.82421875,-43318.3125,-23148.42578125,-13996.5126953125,-2026.9134521484375,-25795.958984375,-38185.0859375,143601.390625,150441.25,27027.71875,-783.2618408203125,306302.59375,322889.3125,146371.796875,-31021.73046875,-30984.17578125,663361.4375,667263.75,0.0,0.0,0.0
15:39:26.806273,-48566.61328125,-63730.95703125,-50508.046875,-57598.98046875,269781.65625,-39959.67578125,-46262.875,-45055.97265625,-24340.576171875,-19085.48046875,-3277.62890625,-25945.63671875,-39210.390625,138237.75,145282.1875,21898.78515625,-1076.359130859375,301031.21875,317788.4375,141231.09375,-36022.265625,-35986.0546875,658345.4375,662184.375,0.0,0.0,0.0
15:39:26.808274,-48854.5234375,-64201.00390625,-54260.10546875,-57581.27734375,262446.96875,-42003.0390625,-46346.30078125,-46149.23046875,-24968.884765625,-25323.140625,-3934.28125,-26012.96484375,-39631.70703125,130713.34375,137953.328125,14467.6328125,-1180.8834228515625,293683.03125,310583.875,133715.734375,-43118.56640625,-43085.83984375,651238.625,655027.8125,0.0,0.0,0.0
15:39:26.810271,-48588.87890625,-63957.171875,-53623.125,-57114.00390625,261865.890625,-40911.66015625,-46305.2578125,-45342.36328125,-24331.455078125,-25117.66796875,-3264.663818359375,-25925.25,-38983.4609375,130270.65625,137503.046875,13907.189453125,-986.2303466796875,293253.59375,310050.4375,133061.03125,-43519.046875,-43486.32421875,650807.125,654590.6875,0.0,0.0,0.0
15:39:26.812267,-48040.328125,-63209.140625,-48625.44921875,-56736.23046875,270334.40625,-37590.93359375,-46175.25,-43373.48046875,-23056.330078125,-17458.333984375,-1925.786865234375,-25768.150390625,-37944.83203125,139100.59375,146109.4375,22508.8515625,-695.368408203125,301797.46875,318254.5625,141648.546875,-35172.2109375,-35136.0,659091.5,662943.875,0.0,16368910.0,0.0
15:39:26.813269,-48038.71484375,-63063.84375,-46493.7421875,-57097.28125,275947.53125,-36980.95703125,-46139.6640625,-43199.125,-23089.32421875,-13267.16796875,-1956.3662109375,-25781.5625,-38128.7578125,144756.265625,151680.53125,28175.51953125,-757.2424926757812,307226.59375,323532.375,147367.171875,-29774.94921875,-29736.58984375,664450.8125,668395.5,0.0,0.0,0.0
15:39:26.815268,-48544.70703125,-63679.9921875,-50017.61328125,-57584.31640625,271160.78125,-39745.70703125,-46249.015625,-44932.31640625,-24276.556640625,-18174.625,-3208.959228515625,-25929.990234375,-39180.52734375,139626.875,146749.734375,23277.091796875,-1050.071533203125,302188.5625,318692.875,142517.171875,-34528.97265625,-34492.4921875,659674.0,663541.0625,0.0,0.0,0.0
