epoch,train_loss,val_loss,r2
1,0.3745406529736577,0.27172910832110553,0.3101365566253662
2,0.27072677861950667,0.26435879270913526,0.31921255588531494
3,0.23332531303409837,0.25406152584745745,0.34992098808288574
4,0.20579376272354016,0.27315209862283224,0.28964763879776
5,0.18871313822739874,0.25897904778316666,0.34106385707855225
6,0.17515707978989362,0.2515704496287402,0.3577548861503601
7,0.15996552488491533,0.2682913298372409,0.29941892623901367
8,0.15012640338406222,0.2666175102557255,0.31831681728363037
9,0.1400158304427095,0.2631790035860855,0.3152216672897339
10,0.13185697816239567,0.269841319419498,0.2878209352493286
11,0.12448903438737471,0.28310035305383446,0.2667681574821472
12,0.11949719713987181,0.2528126918432581,0.3544360399246216
13,0.10083189093795028,0.25572103324653156,0.3420702815055847
14,0.09583327400007803,0.26131264208105404,0.3180270195007324
15,0.09181106693897187,0.2673971289749916,0.3110222816467285
16,0.08828908079694062,0.2711138141140426,0.29468804597854614
17,0.08622516373716495,0.27715212784351495,0.2807392477989197
18,0.08504066639485108,0.25858016893367414,0.33664214611053467
19,0.07608752346849956,0.25956094485077125,0.33334672451019287
20,0.07323746565059494,0.2585040106974442,0.3361915349960327
21,0.07262855936887548,0.2788373740350634,0.27575504779815674
22,0.07134033036793365,0.2834120379993692,0.2573931813240051
23,0.06968652757537908,0.26705949249006083,0.30439651012420654
24,0.06812413278861051,0.262941870029544,0.3135749101638794
25,0.06323600613471936,0.2688038977987115,0.3071996569633484
26,0.0641090936573833,0.2717793790159396,0.29352670907974243
27,0.06314565627960726,0.26831246747683685,0.3052831292152405
28,0.062615732876834,0.2690719865234538,0.30361926555633545
29,0.060933704443269864,0.2695613638575373,0.2990599274635315
30,0.060558782950304355,0.27591144211300006,0.28320813179016113
31,0.05840497177194249,0.27298767958592335,0.2858901023864746
