timestamp,qw,qx,qy,qz,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,raw_hex,src_uuid
22:52:01.790801,-0.015869140625,0.17242431640625,0.0625,0.06243896484375,-0.49853515625,-1.251953125,0.12353515625,32.1875,nan,nan,fcfe090b0004ff0303fcfcf5fd000302,d5060205-a904-deb9-4748-2c7f4a124842
22:52:01.827997,0.88751220703125,-0.06866455078125,0.45501708984375,-0.02252197265625,-0.8125,-0.1513671875,0.5634765625,0.25,-1.25,-0.4375,cd389bfb1f1d8ffe80f9cafe82040400ecfff9ff,d5060402-a904-deb9-4748-2c7f4a124842
22:52:01.828779,0.0311279296875,-0.01568603515625,0.03118896484375,0.0157470703125,-0.62353515625,-0.50146484375,0.37353515625,32.0625,nan,nan,fe01fffeff01020103fbfdfbfd020102,d5060205-a904-deb9-4748-2c7f4a124842
22:52:01.836249,0.88751220703125,-0.068603515625,0.45501708984375,-0.02252197265625,-0.8154296875,-0.14697265625,0.56201171875,0.75,-1.25,0.3125,cd389cfb1f1d8ffe7af9d3fe7f040c00ecff0500,d5060402-a904-deb9-4748-2c7f4a124842
22:52:01.858760,0.8875732421875,-0.06842041015625,0.4549560546875,-0.02252197265625,-0.8125,-0.1484375,0.55859375,1.25,-1.5625,0.5,ce389ffb1e1d8ffe80f9d0fe78041400e7ff0800,d5060402-a904-deb9-4748-2c7f4a124842
22:52:01.867050,-0.0311279296875,-0.156494140625,0.03125,0.0313720703125,-0.3759765625,0.251953125,0.25,-31.75,nan,nan,02fefcf500020202fefc0402000204fe,d5060205-a904-deb9-4748-2c7f4a124842
22:52:01.880602,0.8875732421875,-0.06817626953125,0.45489501953125,-0.022705078125,-0.81103515625,-0.1494140625,0.5615234375,2.3125,-1.4375,0.25,ce38a3fb1d1d8cfe83f9cefe7e042500e9ff0400,d5060402-a904-deb9-4748-2c7f4a124842
22:52:01.903071,0.88763427734375,-0.06787109375,0.45489501953125,-0.02294921875,-0.80615234375,-0.15625,0.56201171875,2.6875,-0.8125,0.3125,cf38a8fb1d1d88fe8df9c0fe7f042b00f3ff0500,d5060402-a904-deb9-4748-2c7f4a124842
22:52:01.910603,0.015380859375,-0.01556396484375,0.03131103515625,0.0157470703125,-0.625,-0.25,0.62451171875,15.9375,nan,nan,fc0001ff0102020100fb00feff04ff00,d5060205-a904-deb9-4748-2c7f4a124842
22:52:01.925492,0.8875732421875,-0.06756591796875,0.45501708984375,-0.023193359375,-0.8037109375,-0.15283203125,0.55908203125,2.75,-0.25,0.25,ce38adfb1f1d84fe92f9c7fe79042c00fcff0400,d5060402-a904-deb9-4748-2c7f4a124842
22:52:01.940674,0.8875732421875,-0.06732177734375,0.45501708984375,-0.02337646484375,-0.802734375,-0.14208984375,0.56689453125,2.0625,-0.3125,-0.0625,ce38b1fb1f1d81fe94f9ddfe89042100fbffffff,d5060402-a904-deb9-4748-2c7f4a124842
22:52:01.948058,-0.0313720703125,-0.000244140625,0.06231689453125,-0.01568603515625,-0.12451171875,0.1103515625,0.25,0.0625,nan,nan,fefdfcfffd03fffe01ffe20000020100,d5060205-a904-deb9-4748-2c7f4a124842
22:52:01.962977,0.88763427734375,-0.06719970703125,0.45489501953125,-0.0233154296875,-0.80029296875,-0.1396484375,0.56640625,0.3125,-1.3125,0.3125,cf38b3fb1d1d82fe99f9e2fe88040500ebff0500,d5060402-a904-deb9-4748-2c7f4a124842
22:52:01.978704,0.88775634765625,-0.06732177734375,0.4547119140625,-0.02325439453125,-0.80712890625,-0.1474609375,0.56396484375,-0.25,-1.875,0.25,d138b1fb1a1d83fe8bf9d2fe8304fcffe2ff0400,d5060402-a904-deb9-4748-2c7f4a124842
22:52:01.985746,0.06243896484375,-0.0469970703125,0.0,-0.06256103515625,-0.00048828125,0.751953125,0.49951171875,16.1875,nan,nan,ff03fefc0000fffbffff0406ff030301,d5060205-a904-deb9-4748-2c7f4a124842
22:52:02.007955,0.88787841796875,-0.06732177734375,0.4544677734375,-0.0233154296875,-0.80322265625,-0.14697265625,0.57177734375,0.625,-1.875,0.0625,d338b1fb161d82fe93f9d3fe93040a00e2ff0100,d5060402-a904-deb9-4748-2c7f4a124842
22:52:02.015764,0.88787841796875,-0.06707763671875,0.45440673828125,-0.02362060546875,-0.81298828125,-0.15283203125,0.56640625,2.375,-1.3125,-0.4375,d338b5fb151d7dfe7ff9c7fe88042600ebfff9ff,d5060402-a904-deb9-4748-2c7f4a124842
22:52:02.031752,-0.015625,-0.0155029296875,0.0157470703125,-0.04693603515625,-0.0009765625,0.00244140625,0.0009765625,-15.875,nan,nan,00ff02ff0201fffcfeff0500020002ff,d5060205-a904-deb9-4748-2c7f4a124842
22:52:02.040018,0.88787841796875,-0.06683349609375,0.4544677734375,-0.02392578125,-0.81005859375,-0.14697265625,0.56103515625,2.75,-0.9375,-0.625,d338b9fb161d78fe85f9d3fe7d042c00f1fff6ff,d5060402-a904-deb9-4748-2c7f4a124842
22:52:02.060418,0.88787841796875,-0.0665283203125,0.45458984375,-0.02410888671875,-0.81396484375,-0.13720703125,0.560546875,1.9375,-0.625,-0.25,d338befb181d75fe7df9e7fe7c041f00f6fffcff,d5060402-a904-deb9-4748-2c7f4a124842
22:52:02.068186,0.01556396484375,-0.078369140625,-0.03131103515625,0.01556396484375,-0.5009765625,-0.376953125,0.12353515625,31.8125,nan,nan,ff00fcfafffdff00fefbfcfcfd00fd01,d5060205-a904-deb9-4748-2c7f4a124842
22:52:02.075594,0.8878173828125,-0.06646728515625,0.45458984375,-0.02410888671875,-0.8134765625,-0.134765625,0.56201171875,0.25,-0.8125,0.3125,d238bffb181d75fe7ef9ecfe7f040400f3ff0500,d5060402-a904-deb9-4748-2c7f4a124842
22:52:02.097949,0.8878173828125,-0.0665283203125,0.45465087890625,-0.02410888671875,-0.8037109375,-0.14208984375,0.56640625,-0.6875,-0.9375,0.625,d238befb191d75fe92f9ddfe8804f5fff1ff0a00,d5060402-a904-deb9-4748-2c7f4a124842
22:52:02.113102,0.01568603515625,0.04705810546875,0.04681396484375,0.01556396484375,-0.37451171875,0.2490234375,0.3740234375,15.875,nan,nan,01010303ff02ff0001fdfe01fe02fe00,d5060205-a904-deb9-4748-2c7f4a124842
22:52:02.120371,0.8878173828125,-0.066650390625,0.45458984375,-0.0240478515625,-0.802734375,-0.15234375,0.56298828125,-0.1875,-1.0625,0.375,d238bcfb181d76fe94f9c8fe8104fdffefff0600,d5060402-a904-deb9-4748-2c7f4a124842
22:52:02.142947,0.88787841796875,-0.06658935546875,0.45452880859375,-0.02423095703125,-0.80615234375,-0.15380859375,0.56884765625,1.5,-1.125,0.0,d338bdfb171d73fe8df9c5fe8d041800eeff0000,d5060402-a904-deb9-4748-2c7f4a124842
22:52:02.150660,-0.03131103515625,0.03118896484375,0.07818603515625,0.01556396484375,-0.12548828125,0.1259765625,0.00146484375,32.0,nan,nan,fffdff010105ff00fffe020103000002,d5060205-a904-deb9-4748-2c7f4a124842
