timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20
11:24:44.015660,-111.55145263671875,-92.7828369140625,-192.5882568359375,-16873.8515625,-14714.0830078125,-15240.16796875,-634.1795654296875,-15222.681640625,-17803.310546875,-14822.146484375,-2059.865966796875,-2259.805419921875,-5549.0400390625,-29514.87109375,-12668.6962890625,-10433.2021484375,-17281.76953125,-35735.9140625,-73636.375,0.0
11:24:44.016152,-111.79631805419922,-91.17093658447266,-199.21311950683594,-17358.96875,-15206.97265625,-15696.1279296875,-644.9104614257812,-15635.6875,-18294.498046875,-15314.86328125,-2144.96630859375,-2752.01904296875,-5598.24951171875,-30058.16015625,-13154.3955078125,-10937.0732421875,-17894.14453125,-36331.21875,-74284.5546875,0.0
11:24:44.018519,-109.00928497314453,-85.6495132446289,-197.76832580566406,-17783.193359375,-15638.0830078125,-16091.4755859375,-641.0099487304688,-15988.359375,-18721.392578125,-15742.853515625,-2169.03076171875,-3184.992431640625,-5584.47998046875,-30469.90234375,-13599.9853515625,-11380.9912109375,-18446.916015625,-36793.5703125,-74854.25,0.0
11:24:44.021539,-104.40042114257812,-79.1379165649414,-193.68846130371094,-18153.330078125,-16017.0478515625,-16434.0,-631.0222778320312,-16289.70703125,-19092.33203125,-16115.57421875,-2156.69677734375,-3569.645263671875,-5534.068359375,-30757.609375,-14012.7021484375,-11772.65625,-18948.384765625,-37126.5234375,-75354.96875,0.0
11:24:44.023581,-101.10978698730469,-75.34243774414062,-191.18759155273438,-18526.876953125,-16400.57421875,-16781.6953125,-623.9761352539062,-16594.408203125,-19464.7734375,-16492.1484375,-2147.808837890625,-3964.667724609375,-5490.927734375,-30978.865234375,-14448.3935546875,-12169.4921875,-19453.849609375,-37384.37109375,-75846.6484375,0.0
11:24:44.025556,-98.73385620117188,-72.404296875,-190.9238739013672,-18955.0703125,-16840.322265625,-17186.828125,-626.9337768554688,-16952.4921875,-19889.171875,-16925.669921875,-2175.196044921875,-4424.94677734375,-5491.47705078125,-31187.6015625,-14958.53515625,-12624.1103515625,-20017.443359375,-37617.94140625,-76386.046875,0.0
11:24:44.027550,-96.52129364013672,-69.14222717285156,-193.15098571777344,-19483.41796875,-17383.087890625,-17696.265625,-642.8904418945312,-17405.96875,-20411.244140625,-17461.330078125,-2258.828369140625,-4994.83349609375,-5566.01123046875,-31434.798828125,-15584.361328125,-13181.052734375,-20686.951171875,-37875.16796875,-77022.2421875,0.0
11:24:44.029581,-93.79280853271484,-67.45510864257812,-195.71725463867188,-20079.322265625,-17995.255859375,-18278.201171875,-660.9564819335938,-17921.87890625,-21000.18359375,-18064.314453125,-2358.5791015625,-5637.58154296875,-5674.21044921875,-31695.76953125,-16287.3056640625,-13806.9619140625,-21428.15625,-38127.91796875,-77721.6328125,0.0
11:24:44.031314,-91.01506042480469,-67.23091125488281,-193.47280883789062,-20536.4453125,-18469.732421875,-18725.244140625,-654.9888305664062,-18308.029296875,-21451.73828125,-18529.24609375,-2344.90478515625,-6147.6201171875,-5652.43603515625,-31776.123046875,-16860.470703125,-14299.638671875,-22034.24609375,-38176.89453125,-78275.8671875,0.0
11:24:44.033585,-89.94458770751953,-67.79546356201172,-184.97955322265625,-20741.388671875,-18690.966796875,-18921.525390625,-619.7642211914062,-18456.791015625,-21649.857421875,-18742.662109375,-2180.22705078125,-6408.849609375,-5435.2998046875,-31572.17578125,-17187.451171875,-14546.0966796875,-22388.0234375,-37917.09765625,-78568.8984375,0.0
11:24:44.036607,-90.17851257324219,-70.44991302490234,-172.353515625,-20738.30859375,-18704.169921875,-18910.181640625,-572.2547607421875,-18413.490234375,-21636.59765625,-18748.86328125,-1932.4993896484375,-6465.09033203125,-5098.6171875,-31142.478515625,-17310.404296875,-14588.66015625,-22534.83984375,-37411.74609375,-78647.3203125,0.0
11:24:44.038597,-90.89051055908203,-74.37498474121094,-159.09519958496094,-20629.35546875,-18612.955078125,-18794.4765625,-525.2031860351562,-18276.314453125,-21516.662109375,-18649.623046875,-1677.6617431640625,-6418.95068359375,-4737.65185546875,-30607.240234375,-17329.2890625,-14528.3740234375,-22577.689453125,-36785.6953125,-78614.8828125,0.0
11:24:44.041655,-92.65825653076172,-76.73184967041016,-151.2159423828125,-20519.111328125,-18522.15625,-18678.861328125,-488.568359375,-18141.185546875,-21397.1640625,-18548.5,-1474.612060546875,-6373.49951171875,-4419.28173828125,-30087.49609375,-17346.43359375,-14468.9462890625,-22619.6796875,-36163.55859375,-78576.4765625,0.0
11:24:44.042710,-94.52873229980469,-76.92330932617188,-150.05703735351562,-20502.021484375,-18527.0546875,-18656.36328125,-473.4889221191406,-18096.720703125,-21373.076171875,-18540.5390625,-1370.409423828125,-6421.9658203125,-4200.47314453125,-29692.314453125,-17456.541015625,-14503.140625,-22756.5703125,-35658.5625,-78627.828125,0.0
11:24:44.044696,-95.01049041748047,-75.71431732177734,-152.88311767578125,-20673.51953125,-18720.740234375,-18822.6015625,-481.5732727050781,-18229.09375,-21538.591796875,-18720.18359375,-1394.9949951171875,-6656.03466796875,-4137.02880859375,-29524.6640625,-17750.458984375,-14723.91796875,-23081.572265625,-35378.84765625,-78860.9375,0.0
11:24:44.046338,-93.57476806640625,-73.53085327148438,-156.45953369140625,-20960.8359375,-19029.484375,-19104.865234375,-495.39453125,-18470.7421875,-21819.90625,-19015.7578125,-1472.234375,-7005.60693359375,-4164.6591796875,-29519.97265625,-18151.80859375,-15061.3994140625,-23522.302734375,-35264.015625,-79200.5859375,0.0
11:24:44.048676,-91.26361846923828,-71.98550415039062,-157.25682067871094,-21201.43359375,-19290.03125,-19339.810546875,-494.6210632324219,-18667.763671875,-22054.35546875,-19265.978515625,-1489.8343505859375,-7311.7958984375,-4151.80078125,-29523.291015625,-18493.2734375,-15356.27734375,-23917.388671875,-35158.1171875,-79484.3515625,0.0
11:24:44.050735,-89.59033203125,-72.14954376220703,-151.43910217285156,-21296.2578125,-19402.998046875,-19428.392578125,-473.2218322753906,-18725.154296875,-22142.578125,-19372.38671875,-1404.5064697265625,-7477.3583984375,-4020.169921875,-29438.9921875,-18670.47265625,-15508.7861328125,-24168.88671875,-34961.8046875,-79614.9609375,0.0
11:24:44.052728,-87.92560577392578,-71.77592468261719,-140.96426391601562,-21259.345703125,-19384.458984375,-19385.623046875,-443.0101013183594,-18661.166015625,-22099.197265625,-19350.482421875,-1260.0372314453125,-7516.75927734375,-3798.0283203125,-29284.78125,-18697.74609375,-15531.8125,-24291.65625,-34689.40625,-79609.234375,0.0
11:24:44.055724,-86.05590057373047,-69.96858215332031,-135.24960327148438,-21247.275390625,-19391.078125,-19369.142578125,-424.7151794433594,-18622.115234375,-22082.57421875,-19355.470703125,-1164.824462890625,-7580.845703125,-3618.2587890625,-29216.646484375,-18731.673828125,-15580.037109375,-24437.65234375,-34496.5078125,-79622.984375,0.0
