timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20
11:23:13.366946,8.626364707946777,2.6035749912261963,-23.44086265563965,-352.978271484375,-352.4908752441406,-878.90673828125,-211.7329559326172,-1436.9075927734375,-489.2777404785156,-340.96807861328125,-711.8850708007812,473.4588623046875,-1360.7525634765625,-671.2886352539062,-432.9189147949219,-635.2803344726562,-807.9063720703125,-783.281982421875,-974.8138427734375,0.0
11:23:13.370074,6.802898406982422,0.27580368518829346,-20.980937957763672,-396.2188720703125,-404.8685302734375,-944.2755737304688,-205.26034545898438,-1466.569580078125,-531.3317260742188,-395.8109436035156,-668.9074096679688,366.31884765625,-1294.19482421875,-758.7330322265625,-464.78369140625,-696.2866821289062,-876.7874145507812,-863.6256713867188,-1031.29638671875,0.0
11:23:13.371540,5.015202045440674,-0.3370695114135742,-20.466604232788086,-474.4551086425781,-491.47674560546875,-1045.37158203125,-205.94349670410156,-1529.75390625,-609.7474975585938,-485.06903076171875,-659.3770751953125,225.68841552734375,-1263.4725341796875,-885.8111572265625,-533.7891845703125,-791.7199096679688,-980.705078125,-988.9122314453125,-1125.6802978515625,0.0
11:23:13.373018,4.521994113922119,-0.07844270765781403,-19.105388641357422,-558.2760620117188,-583.5977172851562,-1151.1737060546875,-205.468994140625,-1599.552490234375,-695.6469116210938,-580.3480834960938,-651.5560302734375,81.28451538085938,-1235.120361328125,-1022.1970825195312,-612.83984375,-892.2076416015625,-1089.7589111328125,-1127.8685302734375,-1225.148193359375,0.0
11:23:13.374984,4.821094989776611,0.8781450986862183,-19.508365631103516,-687.3198852539062,-720.4126586914062,-1301.354736328125,-210.47215270996094,-1711.5,-827.5411376953125,-720.279296875,-669.9031982421875,-106.25231170654297,-1240.087890625,-1204.3675537109375,-740.544677734375,-1036.22314453125,-1241.715087890625,-1316.6343994140625,-1365.73583984375,0.0
11:23:13.377088,4.974602699279785,3.358715534210205,-19.223060607910156,-816.142333984375,-857.7454223632812,-1450.3382568359375,-213.71725463867188,-1823.4251708984375,-959.0559692382812,-859.3522338867188,-677.0299072265625,-293.5582275390625,-1242.49853515625,-1385.4002685546875,-871.2781982421875,-1179.1556396484375,-1392.7857666015625,-1507.496826171875,-1501.3280029296875,0.0
11:23:13.378690,4.154037952423096,4.728679180145264,-18.491403579711914,-926.2872924804688,-975.4732055664062,-1578.887451171875,-213.48912048339844,-1917.0748291015625,-1071.128173828125,-978.145263671875,-666.4336547851562,-461.5601806640625,-1232.995361328125,-1543.952392578125,-984.2635498046875,-1302.998779296875,-1523.7359619140625,-1676.524658203125,-1613.9853515625,0.0
11:23:13.380000,2.0094716548919678,1.4405205249786377,-18.297163009643555,-1025.97607421875,-1078.74462890625,-1695.468017578125,-212.92254638671875,-1997.1146240234375,-1172.1326904296875,-1084.066650390625,-648.465087890625,-615.6202392578125,-1218.426025390625,-1683.08447265625,-1083.460693359375,-1413.84130859375,-1640.4273681640625,-1823.851806640625,-1712.42431640625,0.0
11:23:13.383095,0.45012131333351135,-2.526853561401367,-15.854857444763184,-1058.0955810546875,-1112.3389892578125,-1744.271240234375,-204.38534545898438,-2012.2703857421875,-1206.2607421875,-1121.6260986328125,-587.4833374023438,-701.1936645507812,-1153.9224853515625,-1745.4371337890625,-1112.832763671875,-1456.19482421875,-1690.4769287109375,-1891.30322265625,-1744.0284423828125,0.0
11:23:13.385000,0.44610533118247986,-1.92978835105896,-15.12508487701416,-1098.1446533203125,-1154.1031494140625,-1801.4061279296875,-199.05767822265625,-2035.07958984375,-1249.5062255859375,-1166.884033203125,-546.0819091796875,-792.58837890625,-1105.3360595703125,-1806.99560546875,-1149.04931640625,-1506.0592041015625,-1749.0919189453125,-1955.1690673828125,-1785.7379150390625,0.0
11:23:13.386278,0.019178278744220734,-0.1435185968875885,-14.125579833984375,-1134.9007568359375,-1193.4366455078125,-1854.44775390625,-192.403564453125,-2056.096923828125,-1289.8123779296875,-1207.81787109375,-507.5682373046875,-879.6383666992188,-1058.06005859375,-1858.05419921875,-1181.7442626953125,-1552.1282958984375,-1803.6639404296875,-2005.004150390625,-1824.03955078125,0.0
11:23:13.388972,-0.39045825600624084,-0.19982558488845825,-13.457493782043457,-1169.88623046875,-1230.5733642578125,-1904.4786376953125,-186.54373168945312,-2077.5966796875,-1328.2193603515625,-1245.2918701171875,-476.27337646484375,-963.9378051757812,-1011.5804443359375,-1899.1551513671875,-1212.702880859375,-1596.62548828125,-1854.3475341796875,-2040.885498046875,-1856.4638671875,0.0
11:23:13.390958,0.3093010187149048,0.6419562697410583,-15.122611045837402,-1238.6727294921875,-1299.0999755859375,-1986.59619140625,-185.6429901123047,-2130.8173828125,-1399.8775634765625,-1315.2691650390625,-476.2884521484375,-1078.52197265625,-990.9384155273438,-1964.17431640625,-1277.0888671875,-1673.3465576171875,-1933.3935546875,-2096.15966796875,-1914.7838134765625,0.0
11:23:13.393007,1.7875230312347412,3.5951809883117676,-13.991205215454102,-1266.1810302734375,-1324.59423828125,-2025.5228271484375,-176.16294860839844,-2143.629638671875,-1429.27685546875,-1343.6226806640625,-448.9541931152344,-1152.87890625,-935.9330444335938,-1980.6817626953125,-1301.787841796875,-1707.7960205078125,-1969.950927734375,-2101.95703125,-1928.7784423828125,0.0
