timestamp,qw,qx,qy,qz,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,raw_hex,src_uuid
11:23:53.461981,0.898193359375,-0.21734619140625,0.38037109375,-0.03515625,-0.6796875,-0.4228515625,0.6044921875,0.5625,-0.6875,-0.0625,7c3917f25818c0fd90fa9efcd6040900f5ffffff,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.462596,-0.046875,0.0001220703125,0.01593017578125,0.01556396484375,0.251953125,0.00146484375,0.3740234375,48.25,nan,nan,00fd02000501ff0004020300fe020403,d5060205-a904-deb9-4748-2c7f4a124842
11:23:53.476760,0.89825439453125,-0.2171630859375,0.38043212890625,-0.03521728515625,-0.67822265625,-0.41845703125,0.60546875,1.4375,-0.75,-0.125,7d391af25918bffd93faa7fcd8041700f4fffeff,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.498602,0.898193359375,-0.21722412109375,0.38043212890625,-0.03521728515625,-0.6806640625,-0.42236328125,0.60400390625,0.8125,-0.6875,0.0625,7c3919f25918bffd8efa9ffcd5040d00f5ff0100,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.499263,0.03118896484375,-0.03131103515625,-0.04705810546875,0.01556396484375,-0.25048828125,-0.62451171875,-0.24951171875,-32.0,nan,nan,ff01fffdfdfcff00fffd01fb01fe00fe,d5060205-a904-deb9-4748-2c7f4a124842
11:23:53.520958,0.898193359375,-0.21722412109375,0.3804931640625,-0.03515625,-0.6806640625,-0.421875,0.61083984375,-0.0625,-0.625,0.375,7c3919f25a18c0fd8efaa0fce304fffff6ff0600,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.536208,0.898193359375,-0.21722412109375,0.3804931640625,-0.03521728515625,-0.67919921875,-0.42626953125,0.6044921875,0.0,-0.8125,0.375,7c3919f25a18bffd91fa97fcd6040000f3ff0600,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.543398,0.04718017578125,0.10980224609375,-0.03118896484375,-6.103515625e-05,0.001953125,-1.6298828125,0.37255859375,-15.875,nan,nan,0503070701feffff0400f6f2fb0202ff,d5060205-a904-deb9-4748-2c7f4a124842
11:23:53.566337,0.89813232421875,-0.21728515625,0.38055419921875,-0.03521728515625,-0.67236328125,-0.42919921875,0.599609375,0.8125,-0.75,0.0,7b3918f25b18bffd9ffa91fccc040d00f4ff0000,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.580889,0.89813232421875,-0.2171630859375,0.380615234375,-0.03533935546875,-0.68115234375,-0.42529296875,0.60693359375,1.4375,-0.6875,-0.375,7b391af25c18bdfd8dfa99fcdb041700f5fffaff,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.581640,0.07806396484375,0.0,-0.0155029296875,-0.0782470703125,-0.24755859375,-0.49951171875,-0.1240234375,112.125,nan,nan,ff04000002fffefa05fe01fc02ff0207,d5060205-a904-deb9-4748-2c7f4a124842
11:23:53.596166,0.89813232421875,-0.21697998046875,0.38067626953125,-0.03546142578125,-0.681640625,-0.42578125,0.607421875,1.75,-0.5,-0.125,7b391df25d18bbfd8cfa98fcdc041c00f8fffeff,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.633504,0.898193359375,-0.21685791015625,0.38067626953125,-0.0355224609375,-0.67822265625,-0.42626953125,0.60888671875,1.75,-0.6875,0.0,7c391ff25d18bafd93fa97fcdf041c00f5ff0000,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.633958,-0.0001220703125,0.0467529296875,-0.09375,0.0155029296875,0.0009765625,0.3759765625,0.12548828125,80.1875,nan,nan,fefffe0200fafe000200020301010305,d5060205-a904-deb9-4748-2c7f4a124842
11:23:53.640879,0.89825439453125,-0.216552734375,0.38067626953125,-0.03558349609375,-0.67919921875,-0.41650390625,0.609375,1.6875,-0.75,0.0,7d3924f25d18b9fd91faabfce0041b00f4ff0000,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.656162,0.8983154296875,-0.2164306640625,0.380615234375,-0.03564453125,-0.67724609375,-0.41943359375,0.60693359375,1.3125,-1.0,-0.125,7e3926f25c18b8fd95faa5fcdb041500f0fffeff,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.663426,-0.0469970703125,-0.1878662109375,-6.103515625e-05,-0.0311279296875,0.001953125,0.37890625,0.5,16.4375,nan,nan,fefcfaf3ffff02fe0400080300040701,d5060205-a904-deb9-4748-2c7f4a124842
11:23:53.678447,0.8983154296875,-0.21636962890625,0.38055419921875,-0.03564453125,-0.67724609375,-0.42138671875,0.60986328125,0.5625,-1.125,0.0,7e3927f25b18b8fd95faa1fce1040900eeff0000,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.693537,0.8983154296875,-0.2164306640625,0.380615234375,-0.03564453125,-0.67529296875,-0.4248046875,0.60986328125,0.5625,-1.0,-0.125,7e3926f25c18b8fd99fa9afce1040900f0fffeff,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.700968,0.03106689453125,0.01568603515625,-0.03131103515625,-0.01568603515625,0.376953125,-0.123046875,0.125,48.3125,nan,nan,fd010101fffdfffe040304ff00010503,d5060205-a904-deb9-4748-2c7f4a124842
11:23:53.716682,0.8983154296875,-0.21630859375,0.380615234375,-0.0357666015625,-0.681640625,-0.4248046875,0.6064453125,1.6875,-0.8125,-0.3125,7e3928f25c18b6fd8cfa9afcda041b00f3fffbff,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.738342,0.89837646484375,-0.2159423828125,0.380615234375,-0.03594970703125,-0.67919921875,-0.42041015625,0.6083984375,2.4375,-0.5625,-0.25,7f392ef25c18b3fd91faa3fcde042700f7fffcff,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.739107,0.01531982421875,-0.15655517578125,-0.031494140625,0.0311279296875,0.7548828125,0.1279296875,0.49853515625,48.4375,nan,nan,fb00fbf5fcfdfe010a060601fd030703,d5060205-a904-deb9-4748-2c7f4a124842
11:23:53.754162,0.8984375,-0.2156982421875,0.38067626953125,-0.0360107421875,-0.68359375,-0.41943359375,0.60693359375,1.9375,-0.75,0.0625,803932f25d18b2fd88faa5fcdb041f00f4ff0100,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.776244,0.8984375,-0.21575927734375,0.3807373046875,-0.0360107421875,-0.67626953125,-0.42138671875,0.609375,0.6875,-0.8125,0.0625,803931f25e18b2fd97faa1fce0040b00f3ff0100,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.783556,-0.03143310546875,-0.015869140625,-0.03118896484375,0.04669189453125,0.3798828125,-0.49951171875,-0.2490234375,48.3125,nan,nan,fdfdfcfe01fefd020a0301fc02fe0503,d5060205-a904-deb9-4748-2c7f4a124842
11:23:53.798539,0.89837646484375,-0.21575927734375,0.3807373046875,-0.0360107421875,-0.6767578125,-0.421875,0.6103515625,0.375,-0.6875,-0.125,7f3931f25e18b2fd96faa0fce2040600f5fffeff,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.820829,0.89837646484375,-0.21575927734375,0.38079833984375,-0.0360107421875,-0.6796875,-0.42529296875,0.6083984375,0.9375,-0.6875,-0.0625,7f3931f25f18b2fd90fa99fcde040f00f5ffffff,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.821624,-0.03125,0.0467529296875,-0.0313720703125,-0.03118896484375,0.50390625,0.12841796875,0.25048828125,16.1875,nan,nan,00fefe02fefd01fe0804070101020301,d5060205-a904-deb9-4748-2c7f4a124842
11:23:53.836338,0.89837646484375,-0.2156982421875,0.380859375,-0.03607177734375,-0.67724609375,-0.4228515625,0.6025390625,1.1875,-0.6875,-0.125,7f3932f26018b1fd95fa9efcd2041300f5fffeff,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.858554,0.89837646484375,-0.215576171875,0.38092041015625,-0.0361328125,-0.67724609375,-0.41796875,0.603515625,1.4375,-0.625,-0.0625,7f3934f26118b0fd95faa8fcd4041700f6ffffff,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.873394,-0.00030517578125,0.01568603515625,-0.06243896484375,-0.03143310546875,0.25341796875,0.1279296875,0.0,32.0625,nan,nan,fbff010101fcfdfd0702060100000102,d5060205-a904-deb9-4748-2c7f4a124842
11:23:53.874865,0.89837646484375,-0.2154541015625,0.3809814453125,-0.03619384765625,-0.6826171875,-0.42041015625,0.603515625,1.25,-0.6875,-0.0625,7f3936f26218affd8afaa3fcd4041400f5ffffff,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.896272,0.89837646484375,-0.2154541015625,0.38104248046875,-0.03619384765625,-0.681640625,-0.4189453125,0.6142578125,0.8125,-0.6875,0.0,7f3936f26318affd8cfaa6fcea040d00f5ff0000,d5060402-a904-deb9-4748-2c7f4a124842
11:23:53.903548,-0.031494140625,0.031005859375,-0.06243896484375,-0.04705810546875,0.001953125,0.1240234375,0.251953125,48.125,nan,nan,fcfdfc0101fcfdfc0400fe0004020203,d5060205-a904-deb9-4748-2c7f4a124842
11:23:53.918637,0.8983154296875,-0.2154541015625,0.38104248046875,-0.03619384765625,-0.67822265625,-0.4208984375,0.60888671875,0.5,-0.6875,-0.1875,7e3936f26318affd93faa2fcdf040800f5fffdff,d5060402-a904-deb9-4748-2c7f4a124842
