timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
11:27:01.792197,0.09888,-0.43726,0.83203,-0.24427,0.85496,1.45038
11:27:01.800334,0.09839,-0.44702,0.83008,-0.85496,0.33588,1.38931
11:27:01.810580,0.09668,-0.448,0.83252,-1.70992,-1.43511,1.55725
11:27:01.820750,0.10327,-0.448,0.84351,-0.24427,-1.64885,1.22137
11:27:01.830369,0.10156,-0.45557,0.84546,2.85496,-1.54198,0.70229
11:27:01.840535,0.10254,-0.46973,0.86328,6.53435,-2.10687,0.01527
11:27:01.851061,0.10767,-0.4624,0.87549,11.60305,-2.15267,-0.65649
11:27:01.861203,0.10571,-0.46436,0.88062,15.43511,-0.21374,-2.27481
11:27:01.870790,0.09717,-0.46826,0.90332,16.82443,-1.58779,-3.74046
11:27:01.881607,0.09644,-0.47754,0.92139,17.22137,-5.32824,-5.00763
11:27:01.890790,0.10474,-0.46216,0.92749,20.01527,-6.01527,-6.03053
11:27:01.900893,0.10034,-0.48828,0.93799,23.78626,-10.99237,-8.16794
11:27:01.910982,0.10449,-0.48486,0.95337,29.60305,-12.51908,-6.77863
11:27:01.921134,0.11597,-0.4541,0.96021,33.00763,-15.25191,-7.46565
11:27:01.931104,0.11792,-0.41846,0.95825,32.82443,-16.24427,-9.81679
11:27:01.941231,0.10718,-0.427,0.94434,26.62595,-18.01527,-13.22137
11:27:01.950939,0.09863,-0.43921,0.95459,22.85496,-22.47328,-14.33588
11:27:01.961102,0.09888,-0.43604,0.95532,21.64886,-26.03053,-14.79389
11:27:01.971129,0.10767,-0.41821,0.95557,26.74809,-27.12977,-14.0458
11:27:01.981036,0.11475,-0.40356,0.94824,31.43511,-28.71756,-13.28244
11:27:01.991333,0.12256,-0.37988,0.92944,32.61069,-30.80916,-12.85496
11:27:02.001503,0.11938,-0.36938,0.91138,30.45802,-34.51908,-12.12214
11:27:02.011215,0.14941,-0.33911,0.91968,26.36641,-36.9771,-14.45802
11:27:02.021198,0.13867,-0.34204,0.90112,25.72519,-37.41985,-11.16031
11:27:02.031217,0.15137,-0.32129,0.89087,21.55725,-40.21374,-11.35878
11:27:02.040970,0.15674,-0.31152,0.87085,21.00763,-40.42748,-9.57252
11:27:02.051066,0.17334,-0.29492,0.86865,18.35114,-42.76336,-8.51908
11:27:02.061319,0.18555,-0.29858,0.8645,15.08397,-41.93893,-9.00763
11:27:02.071139,0.20215,-0.3186,0.86084,10.79389,-41.41985,-9.22137
11:27:02.080838,0.19727,-0.35132,0.8396,11.63359,-43.67939,-9.69466
11:27:02.090920,0.21045,-0.30859,0.8269,22.39695,-39.66412,-5.83206
11:27:02.100886,0.23096,-0.29419,0.82568,25.67939,-37.55725,-7.46565
11:27:02.111390,0.22998,-0.30322,0.82812,26.77863,-33.86259,-7.98473
